,مصارفات روزانه دفتر  و تعمیرللندر 4,,,,,,,
"$44,705.7",$21.1,66.2,,"AFN 1,400",پردخت اجرت دو گلکار بابت کانکریت ریزی چت دوم تهکوی تعمیر للندر 4,12-Jan-26,145,
"$44,735.9",$30.2,66.2,,"AFN 2,000",پیش  پرداخت برای احمد فرید للندر بابت ماه جدی 1404,12-Jan-26,146,
"$44,741.7",$5.7,66.19,,AFN 380,خریداری دو خوراک کباب تکه برای انجنیران ساحه للندر 4 به خاطری کانکریت ریزی پایه های للندر4 به تعمیر للندر 4,12-Jan-26,147,
"$44,750.7",$9.1,66.22,,AFN 600,"خریداری مواد خوراکه به دفتر ساختمان از قبیل بادنجان سیاه, زنجفیل ,سیر, رومی و گشنیز و چکه به تعمیر للندر 4",13-Jan-26,148,
"$44,753.2",$2.4,66.2,,AFN 160,خریداری رومی و تخم مرغ به تعمیر للندر 4,13-Jan-26,149,
"$49,753.2","$5,000.0",66.2,"$5,000.00",AFN 0,پردخت برای شرکت کانکریت ریزی افغان پلانت بابت تعمیر للندر 4,13-Jan-26,150,
"$51,753.2","$2,000.0",66.2,,"AFN 132,400",پردخت برای گلبدین  بابت سیم تابی تعمیر للندر 4,13-Jan-26,151,
"$51,833.2",$80.0,66.2,,"AFN 5,296",پردخت برای محمد تمیم بابت نصب و تهیه دروازه PVC تعمیر للندر 4 مبلغ 80$ دالر امریکایی معادل افغانی ,13-Jan-26,152,
"$51,878.5",$45.3,66.2,,"AFN 3,000",پیش  پرداخت برای احمد فرید للندر بابت ماه جدی 1404,14-Jan-26,153,
"$51,879.8",$1.4,66.22,,AFN 90,خریداری رومی به تعیر للندر 4 ,14-Jan-26,154,
"$51,894.9",$15.1,66.22,,"AFN 1,000",خریداری تیل دیزل  به تعیر للندر 4 ,14-Jan-26,155,
"$51,925.1",$30.2,66.22,,"AFN 2,000",خریداری تیل دیزل  به تعیر للندر 4 ,14-Jan-26,156,
"$52,151.7",$226.5,66.22,,"AFN 15,000",خریداری مواد زد یخ از شرکت ایزومات به تعیر للندر 4 ,14-Jan-26,,
"$52,176.7",$25.1,66.22,,"AFN 1,660","خریداری ترکاری, جواری,سمارق,نخود,نخود,تخم مرغ, میخ  و مرغ به دفتر تعیر للندر 4 ",15-Jan-26,157,
"$52,178.7",$2.0,66.22,,AFN 130,خریداری رومی و قیماق به تعیر للندر 4 ,15-Jan-26,158,
"$52,304.5",$125.8,66.22,,"AFN 8,333",پرداخت معاش صلاودین ولد اکرامدین بابت ماه جدی سال 1404,15-Jan-26,159,
"$52,319.6",$15.1,66.2,,"AFN 1,000",پیش  پرداخت برای هارون ولد فیض الله بابت ماه جدی 1404,15-Jan-26,160,
"$52,419.6",$100.0,66.3,$100.00,AFN 0,پرداخت برای انجنیر عبدالقدیر  بابت دیزاین نما بیرونی للندر 4 ,15-Jan-26,161,
"$52,424.5",$4.8,66.22,,AFN 320,"خریداری رومی, گشنیز, زنجفیل,سیر,سفید کننده به تعیر للندر 4 ",15-Jan-26,162,
"$52,439.6",$15.1,66.22,,"AFN 1,000",خریداری گاز به دفتر تعیر للندر 4 ,15-Jan-26,163,
"$52,442.7",$3.2,66.22,,AFN 210,"خریداری مواد خوردکه از قبیل بریانی,رومی, مرچ و سیر به دفتر تعیر للندر 4 ",15-Jan-26,164,
"$52,453.3",$10.6,66.22,,AFN 700,خریداری گوشت مرغ به دفتر تعیر للندر 4 ,15-Jan-26,165,
"$52,468.4",$15.1,66.3,,"AFN 1,000",پیش  پرداخت برای شریف الله ولد فیض محمد بابت ماه جدی 1404,15-Jan-26,166,
"$52,482.4",$14.0,66.22,,AFN 930,خریداری چاکلیت به دفتر تعیر للندر 4 ,15-Jan-26,167,
"$52,537.7",$55.3,66.22,,"AFN 3,660",خریداری سیم جستی و غرغر به تعیر للندر 4 ,17-Jan-26,168,
"$52,552.7",$15.0,66.5,,"AFN 1,000",پیش  پرداخت برای عبدالمتین ولد نیک محمد کاریگر تعمیر للندر 4 بابت ماه جدی 1404,17-Jan-26,169,
"$52,578.4",$25.7,66.22,,"AFN 1,700",خریداری سیم اصلی  به تعیر للندر 4 ,17-Jan-26,170,
"$52,585.2",$6.8,66.22,,AFN 450,خریداری دستکش  به تعیر للندر 4 ,17-Jan-26,171,
"$52,638.1",$52.9,66.22,,"AFN 3,500",خریداری سیم چستی  به تعیر للندر 4 ,17-Jan-26,172,
"$52,644.9",$6.8,66.22,,AFN 450,خریداری دستکش  به تعیر للندر 4 ,17-Jan-26,173,
"$52,656.0",$11.2,66.22,,AFN 740,"خریداری پل برمه,برس و سودن  به تعیر للندر 4 ",17-Jan-26,174,
"$52,657.5",$1.5,66.22,,AFN 100,"خریداری رومی, گشنیز  به تعیر للندر 4 ",17-Jan-26,175,
"$52,690.8",$33.2,66.22,,"AFN 2,200",پرداخت فیس انترنیت دفتر جنوری 2026 الی 16 فبروری 2026 همرای کرای موتر,17-Jan-26,177,
"$52,713.4",$22.7,66.22,,"AFN 1,500",خریداری تیل دیزل به تعیر للندر 4 ,17-Jan-26,178,
"$52,731.5",$18.1,66.22,,"AFN 1,200",خریداری پیتزا به تعیر للندر 4 ,17-Jan-26,179,
"$52,773.8",$42.3,66.2,,"AFN 2,800",خریداری تیل پطرول به تعیر للندر 4 ,17-Jan-26,180,
"$52,780.5",$6.6,66.22,,AFN 440,خریداری پل برمه به تعیر للندر 4 ,17-Jan-26,181,
"$52,806.2",$25.7,66.22,,"AFN 1,700",خریداری سیم چستی  به تعیر للندر 4 ,17-Jan-26,182,
"$52,809.8",$3.6,66.22,,AFN 240,خریداری گاز به تعیر للندر 4 ,17-Jan-26,183.4166667,
"$52,814.9",$5.1,66.22,,AFN 340,خریداری کتابچه به تعیر للندر 4 ,17-Jan-26,184.5666667,
"$52,830.6",$15.7,66.22,,"AFN 1,040","خریداری دبل,وارگیر,سیلک برق به تعیر للندر 4 ",17-Jan-26,185.7166667,
"$52,832.1",$1.5,66.22,,AFN 100,خریداری نوشابه به تعیر للندر 4 ,17-Jan-26,186.8666667,
"$52,833.6",$1.5,66.22,,AFN 100,"خریداری رومی, گشنیز به تعیر للندر 4 ",17-Jan-26,188.0166667,
"$52,844.2",$10.6,66.22,,AFN 700,"خریداری سه ساکته, پاور پلک دو خانه یی و برس به تعیر للندر 4 ",17-Jan-26,189.1666667,
"$52,848.7",$4.5,66.22,,AFN 300,خریداری مبلاین به تعیر للندر 4 ,17-Jan-26,190.3166667,
"$52,863.8",$15.1,66.22,,"AFN 1,000",خریداری مبلاین به تعیر للندر 4 ,17-Jan-26,191.4666667,
"$52,875.5",$11.6,66.22,,AFN 770,خریداری دستکش و برس به تعیر للندر 4 ,17-Jan-26,192.6166667,
"$52,882.3",$6.8,66.22,,AFN 450,خریداری دستکش  به تعیر للندر 4 ,17-Jan-26,193.7666667,
"$52,889.8",$7.6,66.22,,AFN 500,خریداری چوری کش ماشین جنراتور و بولد به تعیر للندر 4 ,17-Jan-26,194.9166667,
"$52,891.3",$1.5,66.22,,AFN 100,خریداری تیل پطرول به تعیر للندر 4 ,17-Jan-26,196.0666667,
"$52,906.4",$15.1,66.22,,"AFN 1,000",خریداری تیل دیزل به تعیر للندر 4 ,17-Jan-26,197.2166667,
"$52,911.7",$5.3,66.22,,AFN 350,خریداری سنگ برش به تعیر للندر 4 ,17-Jan-26,198.3666667,
"$53,014.4",$102.7,66.22,,"AFN 6,800",خریداری سیم جستی به تعیر للندر 4 ,17-Jan-26,199.5166667,
"$53,015.0",$0.6,66.22,,AFN 40,خریداری صافی موتر به تعیر للندر 4 ,17-Jan-26,200.6666667,
"$53,046.7",$31.7,66.22,,"AFN 2,100",خریداری پرزه جات جنراتور به تعیر للندر 4 ,17-Jan-26,201.8166667,
